rating,no_of_votes,gross,budget,genres_encoded,countries_encoded,gross_log
6.6,540000,264770996.0,150000000.0,319920937.64591837,184826032.9646225,19.394375848082884
6.7,154000,348900019.0,100000000.0,229824903.47445917,162269879.6369369,19.670295963480015
6.9,926000,370569774.0,140000000.0,367815777.00441086,159143831.46343982,19.730552311554884
8.3,672000,17592355.0,3000000.0,131633231.80615368,87207565.55645792,16.682975047483104
4.7,45000,32978510.0,115000000.0,326579873.1096718,163995143.093763,17.311366725501607
6.1,53000,21899684.0,25000000.0,203386254.2695733,142871993.08669764,16.90198281112164
7.4,391000,71261763.0,50000000.0,175999640.62361118,155705435.73284134,18.08187047225601
8.6,1500000,775398507.0,11000000.0,385303938.5103191,164224453.71494043,20.46888765903108
6.3,19000,57053870.0,40000000.0,146465904.80433238,154821086.8236121,17.8595064847312
7.3,625000,365304105.0,205000000.0,268387102.60338643,154980667.96566007,19.716240731778992
5.6,213000,240697856.0,125000000.0,318884997.4010485,163192291.32583594,19.299052999514664
4.7,32000,24109036.0,50000000.0,240341317.4743308,138239124.792551,16.998097307426846
7.8,429000,115175729.0,22000000.0,142965182.99173057,166111576.75374424,18.561969606947198
6.3,152000,162619535.0,40000000.0,143799189.83931464,162759199.58805758,18.906923895462317
7.5,479000,51824861.0,60000000.0,201823801.99289572,180677335.61450145,17.763380553475045
8.6,1200000,517778573.0,102000000.0,309492608.4713971,128663740.75695449,20.065058245514805
6.6,50000,3138750.0,25000000.0,135648340.87266892,166102437.70525783,14.95933550805205
7.0,523000,357288178.0,15000000.0,244231509.61211005,159143831.46343982,19.69405323820341
5.5,210000,177856751.0,69000000.0,181529433.75145248,169569951.67285788,18.99648902021499
4.5,12000,2014050.0,20000000.0,178336103.2161264,144081639.52158463,14.515658674680843
5.8,1400,102917.0,25000000.0,119930151.34168205,134854927.648578,11.54168783363788
5.3,235000,179179718.0,78000000.0,254699544.26198357,119983708.90027168,19.003899876877092
7.3,867000,1349926083.0,200000000.0,359816045.75855845,157471398.12886688,21.023315675305177
8.2,720000,446064352.0,95000000.0,148642385.95887208,153487443.50362974,19.915973788813314
7.6,887000,456082343.0,65000000.0,240800426.9270994,163386725.5160681,19.938183930123614
6.5,21000,1144195.0,25000000.0,154637346.72684714,148618414.85549274,13.950212764918128
7.2,1000000,695220619.0,78000000.0,278810112.8333685,155705435.73284134,20.359739792004934
7.4,346000,57510518.0,16000000.0,137817212.85808483,188080065.05069342,17.86747842816669
8.2,1600000,375406308.0,150000000.0,261220376.7914438,162759199.58805758,19.743519488048985
5.4,3200,20810966.0,5000000.0,162251839.98745072,162476541.81037694,16.85099066533442
7.7,143000,51703274.0,1800000.0,134958583.57506624,162476541.81037694,17.761031683700608
7.9,1200000,585796247.0,140000000.0,397563884.42871016,182599177.445171,20.188482587421042
6.6,572000,856085161.0,100000000.0,353715512.53053707,170983485.8343642,20.567880417475138
6.5,104000,405421518.0,110000000.0,322819600.8656614,182242405.635924,19.82043787148118
7.3,257000,91133062.0,8000000.0,153047523.44222012,155705435.73284134,18.327831227231943
7.3,333000,121214377.0,105000000.0,279466892.1894847,155705435.73284134,18.6130712549265
5.7,132000,704875015.0,340000000.0,241712947.85587454,185983851.44668487,20.37353106279068
8.1,1300000,654264546.0,140000000.0,306797118.8821989,162476541.81037694,20.29902233374714
7.0,21000,12666564.0,25000000.0,220971705.971241,131353033.51763329,16.35447640267455
8.5,1300000,20278989.0,16000000.0,140102463.3702848,134428625.95343828,16.825095932685716
6.9,149000,397378150.0,160000000.0,265587547.80000085,155705435.73284134,19.800398906701393
6.3,27000,20458572.0,30000000.0,308307460.95366126,211910869.25819257,16.833912570209847
7.0,231000,127337886.0,50000000.0,199947190.32584035,139877452.52137503,18.662354639043407
7.9,421000,845555777.0,250000000.0,350608643.8946784,178265006.2667034,20.555504694558653
7.3,145000,326088587.0,55000000.0,276177201.93898445,124193042.45652193,19.60267964474701
8.0,847000,631688498.0,92000000.0,377641007.9779221,155705435.73284134,20.263906949276087
7.8,574000,143412671.0,14300000.0,271467108.4094931,155705435.73284134,18.781236850426392
7.5,32000,191452.0,25000000.0,218162333.0483643,160796811.867822,12.162397626670368
7.5,210000,1698863816.0,200000000.0,220324644.2891116,155705435.73284134,21.2532255216267
6.7,83000,1057696916.0,150000000.0,291872379.13374215,162269879.6369369,20.779359661478868
6.9,301000,1097831681.0,183000000.0,252279274.59630132,143900437.09735236,20.816602873200893
7.4,724000,882739136.0,100000000.0,325517106.6018098,158251123.80033165,20.59854028683469
6.8,280000,1662020819.0,260000000.0,275978615.02750665,155784889.5145229,21.231300060377016
8.0,961000,630621406.0,108000000.0,277024023.72369784,141576048.4719681,20.262216251533616
6.3,279000,407141258.0,120000000.0,301119170.0810276,120812454.05024831,19.824670756900794
8.8,846000,25264999.0,1200000.0,203644611.45441473,115315366.36555907,17.044930596708145
6.6,55000,12778225.0,25000000.0,154549834.21005532,158251123.80033165,16.363253186636946
7.1,392000,262821940.0,65000000.0,281575628.4867307,157471398.12886688,19.386987330435197
8.0,906000,532950503.0,135000000.0,153331165.65270647,138225040.485079,20.09393911477868
6.6,503000,288885818.0,85000000.0,257031083.33770832,164224453.71494043,19.481542078042704
5.9,738000,749200054.0,175000000.0,322302085.0251128,164224453.71494043,20.434516601945845
7.9,724000,808485409.0,130000000.0,322397148.7734281,166111576.75374424,20.51067319105485
7.5,743000,865011746.0,130000000.0,247770952.80857483,159143831.46343982,20.578253645150763
9.0,2100000,1138267561.0,94000000.0,297856580.9867941,198664716.20683324,20.852773261008085
8.4,1700000,321460744.0,70000000.0,137473532.4403298,133473737.41902575,19.588385994653756
7.0,174000,634502312.0,125000000.0,260448356.18732253,161778857.0472319,20.268351490502145
7.6,873000,850035635.0,113000000.0,354201654.22234786,126366498.8067278,20.5607888312757
8.1,858000,859076254.0,175000000.0,254729732.2104524,155705435.73284134,20.57136824783625
8.1,676000,56676733.0,15000000.0,149982499.16692132,159143831.46343982,17.852874349390497
7.9,767000,488977919.0,60000000.0,264108834.0544424,164224453.71494043,20.00782789304547
7.4,512000,607874422.0,175000000.0,295276442.68703425,176521056.5779979,20.225478877479468
6.5,885000,1046515409.0,115000000.0,361495720.68674386,154980667.96566007,20.768731825016637
8.9,2100000,888171906.0,93000000.0,322134927.35444134,175839300.19999897,20.604675871184483
6.3,234000,752600867.0,165000000.0,265895601.7008137,127864422.52621202,20.43904558945805
7.7,311000,64535652.0,19000000.0,260854990.1508653,155705435.73284134,17.98272838874056
6.5,198000,495652.0,2400000.0,208503073.9341526,159143831.46343982,13.113631364100852
8.1,689000,477916625.0,7000000.0,186951929.86009976,157471398.12886688,19.984946852648196
7.7,898000,1026414475.0,125000000.0,277479316.92182696,154980667.96566007,20.749337474829535
8.1,240000,27201366.0,3000000.0,181328069.684913,162759199.58805758,17.118777787356308
8.3,748000,66786256.0,12000000.0,333217580.35114264,161507396.56425142,18.017007883807892
6.7,16000,176951639.0,90000000.0,228077147.7351421,163874266.17451027,18.991387032867642
8.0,464000,30978648.0,16000000.0,340604681.8442614,159143831.46343982,17.24880878322225
8.7,2300000,758464713.0,165000000.0,321177772.3021701,163339897.0228178,20.44680683490607
8.4,721000,393602435.0,90000000.0,349865613.2584678,166102437.70525783,19.790851912147613
5.9,1100,239826.0,25000000.0,179762689.8471779,168871580.92946258,12.387673109065531
7.0,624000,817400891.0,75000000.0,341706313.55097395,159143831.46343982,20.521640220358844
8.8,1900000,938242927.0,94000000.0,335084469.4866731,193584818.88304663,20.659519458514282
8.1,876000,623729380.0,150000000.0,275732713.5655116,155705435.73284134,20.2512271479706
7.7,928000,714421503.0,170000000.0,292352669.73617667,155705435.73284134,20.38698368785742
6.6,239000,14400000.0,200000000.0,247341443.05657846,164224453.71494043,16.48273883399067
6.9,698000,1671537444.0,150000000.0,285367245.0593897,162269879.6369369,21.237009665607605
8.7,6000,6331827.0,25000000.0,272425178.37457836,156989226.2587125,15.66109953600071
5.8,80000,58853243.0,4500000.0,146318179.7945636,155705435.73284134,17.890557513345893
8.1,920000,174567384.0,25000000.0,176295607.35650393,139938921.53514454,18.977821385524447
7.6,124000,4550.0,2000000.0,168124432.30107915,157471398.12886688,8.423102268016642
5.6,18000,21049647.0,24000000.0,272780886.5652675,164224453.71494043,16.862394395862587
7.1,34000,49266061.0,118000000.0,280344034.45844024,126673030.03240526,17.712746004392592
7.4,527000,932530034.0,150000000.0,266837675.59857327,162476541.81037694,20.653411918078824
6.6,46000,713116562.0,200000000.0,275352701.0534631,182599177.445171,20.38515544748521
7.8,709000,1058684742.0,200000000.0,331784227.64615524,159143831.46343982,20.780293166139586
8.1,447000,25637669.0,2777000.0,305003429.25273675,159143831.46343982,17.05957331225254
7.3,353000,188133322.0,90000000.0,224703729.5040783,154980667.96566007,19.052661434349236
7.7,154000,75395048.0,35000000.0,185460234.19424704,124247384.98450968,18.138252167692293
8.2,1200000,941637960.0,94000000.0,303492298.90459895,189872310.80610937,20.663131428518255
7.9,302000,47387566.0,60000000.0,149963371.05460843,155705435.73284134,17.673870452680696
8.0,300000,424208848.0,22000000.0,150946075.58515316,154980667.96566007,19.865736460320466
6.9,441000,745013115.0,180000000.0,361502333.24679184,166111576.75374424,20.42891238155799
8.4,1100000,389925971.0,18000000.0,303202492.4521098,162476541.81037694,19.78146746368613
7.9,54000,19823086.0,25000000.0,307259492.9416852,94838868.19221361,16.80235782650396
8.5,1400000,385053307.0,19000000.0,296548054.57201993,164224453.71494043,19.768892345004694
7.6,409000,643332467.0,150000000.0,312305883.63385594,164224453.71494043,20.28217220611647
9.3,14000,14293874.0,25000000.0,270724770.2959049,221195041.2784008,16.475341681795882
6.2,7300,2315541.0,25000000.0,167655321.58623365,118275031.32102546,14.655154343369405
7.1,345000,1356081801.0,160000000.0,254913102.73419714,155705435.73284134,21.02786535060378
8.3,359000,192323.0,3101000.0,179191134.6079046,164224453.71494043,12.166936728781575
6.7,1100,1916576.0,15000000.0,256267465.0065038,177732351.56096336,14.466051340402387
7.1,694000,709709780.0,150000000.0,362373059.3715996,164224453.71494043,20.38036668527991
7.8,343000,120654337.0,40000000.0,261244269.3746959,140056884.1906175,18.608440304631376
7.1,831000,670145518.0,225000000.0,373694816.0107135,158251123.80033165,20.323005439303714
6.5,98000,404550184.0,100000000.0,225818446.6067277,162476541.81037694,19.81828635351625
6.4,513000,1077022372.0,275000000.0,355358681.6876086,154980667.96566007,20.79746600834965
6.7,548000,474968763.0,150000000.0,248173207.29037046,154980667.96566007,19.978759599836632
8.6,899000,358842805.0,19000000.0,256870960.28871426,196539103.5245757,19.69839498426585
7.7,748000,414351546.0,81000000.0,213524683.51526117,161507396.56425142,19.842225318810943
6.2,287,4463216.0,25000000.0,220495200.80136767,106987628.28928846,15.311380364432532
8.1,461000,53525035.0,8000000.0,194802588.49111584,164224453.71494043,17.795660065022698
7.0,263000,1360847665.0,100000000.0,329029635.2140052,162194762.36953986,21.03137362635721
5.9,116000,142337240.0,100000000.0,362217112.5949016,195963985.5479259,18.773709736480477
7.6,291000,137515140.0,70000000.0,289170689.9659513,170560205.19503102,18.739244585372173
7.7,712000,897468952.0,150000000.0,299715530.5518163,154980667.96566007,20.615089084970705
7.0,568000,286168572.0,120000000.0,295731154.0717557,157471398.12886688,19.47209161123061
7.8,899000,1017107150.0,180000000.0,356198681.32636404,193584818.88304663,20.74022830834488
8.1,989000,1342499744.0,125000000.0,319720246.3821581,162759199.58805758,21.017799194403143
6.8,598000,1447038421.0,100000000.0,210373026.09905574,158251123.80033165,21.09278483711124
6.8,377000,43070915.0,40000000.0,172631429.76607463,166111576.75374424,17.578358524507877
7.4,92000,282459233.0,25000000.0,240519935.23080605,222273223.48335183,19.459044793713105
6.1,345000,808308862.0,160000000.0,263477198.530536,155705435.73284134,20.510454799632203
4.7,9300,5410749.0,38000000.0,175345114.62218872,110731872.97386263,15.503898273376775
6.7,163000,92146310.0,25000000.0,197386509.45424137,166111576.75374424,18.338888208723166
7.3,497000,461996328.0,120000000.0,254764594.78502393,164224453.71494043,19.951067503127
6.2,62000,969126452.0,100000000.0,312949081.5379434,162476541.81037694,20.69190565979287
8.4,350000,405340703.0,25000000.0,174974547.351,237372771.31631008,19.820238515867473
6.4,271000,1159457503.0,74000000.0,274624407.2888496,131688916.3012388,20.87121806370793
7.9,164000,964016.0,25000000.0,148893711.9944432,196936242.6478051,13.778864208291962
7.1,201000,634338409.0,75000000.0,241271313.52281046,164900084.2767397,20.268093139713205
8.4,1300000,527403656.0,180000000.0,342358602.3363885,189872310.80610937,20.083476765875346
6.3,177000,196393745.0,150000000.0,294263881.836341,154980667.96566007,19.095632110200444
6.5,116000,386041607.0,135000000.0,291532222.8770521,149288714.40976948,19.771455714366
7.4,684000,1306450154.0,150000000.0,276684014.67087734,162476541.81037694,20.99057949064721
6.9,1500,218040.0,25000000.0,171174205.3698795,161507396.56425142,12.292438397482139
6.8,205000,1453683476.0,150000000.0,280371546.90895754,192709747.4966706,21.09736650116287
6.8,237000,309979994.0,150000000.0,279007416.8196587,196539103.5245757,19.552018321103105
7.8,525000,657870525.0,165000000.0,290439737.4315185,155705435.73284134,20.304518700931073
7.8,281000,185860104.0,60000000.0,247007859.6369025,157471398.12886688,19.040504825034663
5.6,46000,254997360.0,200000000.0,307328315.79469347,159143831.46343982,19.356763754049542
8.1,117000,30819442.0,25000000.0,143535949.1024393,221195041.2784008,17.243656315012853
7.7,329000,304320254.0,90000000.0,212753939.9089095,162476541.81037694,19.533591175254703
7.2,153000,218613188.0,70000000.0,244366775.04915026,162269879.6369369,19.20281446582997
6.7,209000,346079773.0,55000000.0,182941990.2752894,196539103.5245757,19.66217986714061
8.0,404000,121977511.0,25000000.0,257925957.06057978,157471398.12886688,18.619347257838207
7.3,31000,6457117.0,3500000.0,273811064.73891985,182242405.635924,15.680693646182215
7.1,223000,340487869.0,85000000.0,251200521.0951124,176083237.507833,19.645890058837058
7.4,162000,539987993.0,129000000.0,293260994.0314758,192709747.4966706,20.1070574639421
7.2,140000,110041363.0,140000000.0,283676019.03828347,162476541.81037694,18.516366889436373
5.1,812,2875375.0,25000000.0,274801612.4575942,178779242.0085331,14.871694006270983
8.3,1200000,735102136.0,175000000.0,261385202.1158102,162476541.81037694,20.41552000942756
7.5,540000,383257136.0,59000000.0,302978582.0279781,159143831.46343982,19.764216697852003
6.7,195000,339795890.0,80000000.0,294622040.3779335,162269879.6369369,19.643855674721692
8.2,7700,28740886.0,80000000.0,288525559.6634995,198748519.0872535,17.17383130104774
6.8,66000,250387888.0,70000000.0,245183301.4963214,158251123.80033165,19.338521829407096
7.2,176000,267056816.0,105000000.0,230201341.43094406,140903997.22668722,19.402971991479102
7.3,257000,448191819.0,130000000.0,206469536.14939395,192709747.4966706,19.92073186838365
6.4,96000,347337803.0,125000000.0,278101820.7009698,144482381.74627128,19.66580836292779
7.0,353,20940888.0,25000000.0,244919510.10278606,227497917.58293483,16.857214217137773
7.8,379000,621537519.0,145000000.0,318406800.6933408,152991977.13580668,20.247706837165246
7.2,317000,1029266989.0,200000000.0,298641194.96789277,157471398.12886688,20.752112725643457
8.1,1000000,579770299.0,115000000.0,285897207.96205413,155705435.73284134,20.178142548579615
7.0,177000,325338851.0,100000000.0,189445834.66554877,159143831.46343982,19.60037781868014
7.5,348000,1243225667.0,200000000.0,349491692.57574075,192709747.4966706,20.940975184082664
7.0,295000,358488860.0,85000000.0,285155379.2778095,171267448.4737551,19.697408146391524
7.1,459000,538983207.0,185000000.0,331703131.8887663,181762672.20395157,20.105194974399108
6.3,167000,1034800131.0,80000000.0,269211241.04200476,127864422.52621202,20.757474135837022
7.6,223000,184960747.0,1499000.0,248555595.90622205,157471398.12886688,19.035654187557757
6.6,2000,7367.0,25000000.0,278636072.2668113,142205602.08518296,8.904901577935142
7.0,152000,48428063.0,30000000.0,251319639.84143043,140065806.0897686,17.69559003835841
6.6,39000,300187799.0,70000000.0,294622040.3779335,155705435.73284134,19.51991883676421
6.4,56000,190535708.0,110000000.0,272285398.0119068,166102437.70525783,19.065350183783593
7.3,181000,312336671.0,80000000.0,284428247.7559593,141947803.41983053,19.55959224091182
7.1,141000,139804348.0,50000000.0,209294757.25911596,164224453.71494043,18.75575449600687
7.3,303000,245724603.0,135000000.0,268315376.14755902,158251123.80033165,19.319721970858033
7.4,236000,169707314.0,100000000.0,241802544.81374627,166714571.1929765,18.9495858347557
7.3,266000,252712101.0,85000000.0,286135091.05777675,155705435.73284134,19.347761461991276
7.7,224000,329803958.0,70000000.0,200427663.33647028,164224453.71494043,19.61400897226272
6.6,200000,554987477.0,130000000.0,303115136.06893766,159143831.46343982,20.134456109294018
7.3,308000,321885765.0,130000000.0,323016198.37774885,170535673.89437592,19.589707276589902
6.0,205000,374583879.0,75000000.0,282801664.1819135,127864422.52621202,19.74132631448026
6.1,218000,140705322.0,19000000.0,250493625.88528463,166102437.70525783,18.76217835363623
6.9,455000,542064525.0,75000000.0,283933068.685538,177732351.56096336,20.11089560397835
7.1,240000,587266745.0,135000000.0,292744872.2763547,162476541.81037694,20.190989697060964
8.5,342000,839052.0,3700000.0,137277916.41277,236765880.97645196,13.640029153895176
7.7,476000,471222950.0,165000000.0,285139253.9951882,155705435.73284134,19.970841896670656
8.2,477000,240910597.0,24000000.0,286415219.59396225,189872310.80610937,19.29993645997566
7.8,198000,64659098.0,25000000.0,228903681.4813291,166209940.54950902,17.984639395738245
7.3,179000,130423032.0,25000000.0,304442284.9620351,155705435.73284134,18.686293825294563
6.4,182000,381509870.0,175000000.0,307047746.74053395,166111576.75374424,19.75964728253492
7.2,72000,181935518.0,70000000.0,315455223.1749054,187304176.86339462,19.01916289105632
6.7,134000,383930656.0,175000000.0,249001432.385924,199621211.39341444,19.76597251351617
7.9,393000,107800040.0,18000000.0,229842972.5393932,162476541.81037694,18.49578859677305
7.4,208000,51074773.0,25000000.0,291401548.4826632,162476541.81037694,17.748801273792775
6.5,221000,230594962.0,80000000.0,231240846.50021625,157471398.12886688,19.25617332254246
8.4,641000,814641172.0,175000000.0,260597283.40300137,136122439.5696273,20.51825829572648
8.1,403000,30372667.0,3700000.0,205335488.35698342,237372771.31631008,17.229053683015188
7.6,205000,205843612.0,4000000.0,254932024.53540072,162476541.81037694,19.142627278251656
8.1,242000,23338352.0,70000000.0,255517813.226791,158698041.2699295,16.96560861678012
6.0,18000,209646030.0,95000000.0,285079460.39407027,154980667.96566007,19.160931099849254
7.0,193000,529323962.0,175000000.0,277235615.6083369,162476541.81037694,20.087111208805503
8.3,925000,1067316101.0,200000000.0,334834895.8715755,162476541.81037694,20.788413018437684
6.9,140000,186053725.0,120000000.0,281772617.87541676,196539103.5245757,19.041546039430866
7.2,166000,51600485.0,6000000.0,265032626.6478749,157471398.12886688,17.759041649012087
7.6,300000,211343479.0,40000000.0,265915482.54609427,157471398.12886688,19.16899523519912
6.9,163000,21813358.0,175000000.0,239996011.3526639,166102437.70525783,16.89803313824033
8.0,214000,3330836.0,25000000.0,236861734.9135906,237372771.31631008,15.01873418172452
6.3,66000,547689492.0,85000000.0,301798849.3079555,185983851.44668487,20.12121906571016
7.7,103000,961196.0,25000000.0,181324827.36878532,237372771.31631008,13.775934661740953
6.2,233000,559853036.0,200000000.0,258281777.6125763,189872310.80610937,20.143184873323086
5.7,553,585857.0,25000000.0,237010902.30291024,223414767.284722,13.280832718375603
5.7,23000,257211519.0,60000000.0,305118802.30017745,168983968.82912818,19.36540933937135
6.9,270000,243006136.0,100000000.0,341865109.8346117,157471398.12886688,19.30859725612995
8.0,574000,1025521689.0,150000000.0,282663489.1663524,155705435.73284134,20.748467285911254
6.5,226000,875698161.0,75000000.0,327032401.0008314,162194762.36953983,20.590532025597934
6.4,136000,349305397.0,70000000.0,261387907.86376798,131688916.3012388,19.671457163422325
